,Year,City,Month,Day,AvgTemperature
0,1995,Barcelona,6.526027397,15.72054795,62.01917808
1,1995,Bogota,6.526027397,15.72054795,54.9630137
2,1996,Barcelona,6.513661202,15.7568306,61.12595628
3,1996,Bogota,6.513661202,15.7568306,55.08333333
4,1997,Barcelona,6.526027397,15.72054795,62.61232877
5,1997,Bogota,6.526027397,15.72054795,56.23150685
6,1998,Barcelona,6.526027397,15.72054795,60.2739726
7,1998,Bogota,6.526027397,15.72054795,49.64246575
8,1999,Barcelona,6.526027397,15.72054795,61.20465753
9,1999,Bogota,6.526027397,15.72054795,52.23178082
10,2000,Barcelona,6.513661202,15.7568306,60.06939891
11,2000,Bogota,6.513661202,15.7568306,54.91857923
12,2001,Barcelona,6.526027397,15.72054795,59.27945205
13,2001,Bogota,6.526027397,15.72054795,55.41616438
14,2002,Barcelona,6.526027397,15.72054795,58.04410959
15,2002,Bogota,6.526027397,15.72054795,54.68684932
16,2003,Barcelona,6.526027397,15.72054795,63.13945205
17,2003,Bogota,6.526027397,15.72054795,54.97342466
18,2004,Barcelona,6.513661202,15.7568306,62.87513661
19,2004,Bogota,6.513661202,15.7568306,55.59808743
20,2005,Barcelona,6.526027397,15.72054795,62.04191781
21,2005,Bogota,6.526027397,15.72054795,56.01068493
22,2006,Barcelona,6.526027397,15.72054795,61.98547945
23,2006,Bogota,6.526027397,15.72054795,55.41589041
24,2007,Barcelona,6.526027397,15.72054795,60.55616438
25,2007,Bogota,6.526027397,15.72054795,54.66767123
26,2008,Barcelona,6.513661202,15.7568306,59.65191257
27,2008,Bogota,6.513661202,15.7568306,51.01147541
28,2009,Barcelona,6.526027397,15.72054795,61.55205479
29,2009,Bogota,6.526027397,15.72054795,56.07315068
30,2010,Barcelona,6.526027397,15.72054795,60.66794521
31,2010,Bogota,6.526027397,15.72054795,56.93369863
32,2011,Barcelona,6.526027397,15.72054795,62.83479452
33,2011,Bogota,6.526027397,15.72054795,56.80356164
34,2012,Barcelona,6.513661202,15.7568306,63.03224044
35,2012,Bogota,6.513661202,15.7568306,56.35464481
36,2013,Barcelona,6.526027397,15.72054795,62.24657534
37,2013,Bogota,6.526027397,15.72054795,56.84027397
38,2014,Barcelona,6.526027397,15.72054795,62.43726027
39,2014,Bogota,6.526027397,15.72054795,56.43561644
40,2015,Barcelona,6.540983607,15.75956284,61.79508197
41,2015,Bogota,6.540983607,15.75956284,56.62103825
42,2016,Barcelona,6.513661202,15.7568306,60.80081967
43,2016,Bogota,6.513661202,15.7568306,56.11338798
44,2017,Barcelona,6.526027397,15.72054795,62.51479452
45,2017,Bogota,6.526027397,15.72054795,57.11041096
46,2018,Barcelona,6.526027397,15.72054795,61.39150685
47,2018,Bogota,6.526027397,15.72054795,54.83972603
48,2019,Barcelona,6.526027397,15.72054795,59.71917808
49,2019,Bogota,6.526027397,15.72054795,55.08767123
50,2020,Barcelona,2.73880597,14.79850746,55.43731343
51,2020,Bogota,2.73880597,14.79850746,58.07014925
